nombre,descripcion,imagen,precio,unidad,categoria,marca
Camisa Nike,Camisa deportiva y para el verano,https://static.netshoes.com.br/produtos/camiseta-nike-run-ss-masculina/06/D12-9161-006/D12-9161-006_zoom1.jpg,100000,300,Ropa,Nike
Camisa Nike Il,Manga larga para el invierno,https://th.bing.com/th/id/R.19988c30c9e3d1ab585498540ce51fb3?rik=D9ZH7jfp1IV5yw&pid=ImgRaw&r=0,202000,140,Ropa,Nike
Tenis Nike,Deportivos para hombre,https://http2.mlstatic.com/tenis-zapatillas-nike-roche-hombre-y-dama-envio-gratis-D_NQ_NP_959823-MCO25728283747_072017-F.jpg,45900,89,Ropa,Nike
Tenis Nike Mujer,Deportivos para dama,https://th.bing.com/th/id/R.45a0415e034e951e1dde1b25004a2c65?rik=J2xbaBvkChlsMQ&pid=ImgRaw&r=0,61200,34,Ropa,Nike
Monitor Curvo,"Gigabite 34"" Curvo",https://th.bing.com/th/id/OIP.8z_hQbCP-J3VMUwYyaDiNwHaHa?rs=1&pid=ImgDetMain,900000,32,Tecnologia,
Mouse Redragon,Redragon M801 RGB,https://images-na.ssl-images-amazon.com/images/I/61QXVSF6bLL._AC_SL1500_.jpg,50900,12,Tecnologia,
Teclado Redragon,Mecanico Swich Blue,https://th.bing.com/th/id/OIP.tZDlQtc7Gnu_bLN8upcfPwHaET?rs=1&pid=ImgDetMain,340000,42,Tecnologia,
Cascos Gamer,Kation Cascos Gamer,https://www.guiasdeproductos.com/wp-content/uploads/2018/03/Arkaretch-G2000-1024x1024.jpg,2000000,3,Tecnologia,
AirFryer,Marca Philips,https://th.bing.com/th/id/OIP._rhLQuzlsolSPi6e8tXzRwHaGS?rs=1&pid=ImgDetMain,55900,23,Hogar,
Microondas,Daewoo,https://images-na.ssl-images-amazon.com/images/I/81FEMxJDgEL._SL1500_.jpg,1100000,12,Hogar,